,Fecha,Provincia,Casos,Fase,Poblacion,Nombre
385,2020-01-08,HU,0,0.0,220461,Huesca
386,2020-01-08,J,0,0.0,633564,Jaén
387,2020-01-08,L,0,0.0,434930,Lérida
388,2020-01-08,LE,0,0.0,460001,León
389,2020-01-08,LO,0,0.0,316798,La Rioja
390,2020-01-08,LU,0,0.0,329587,Lugo
391,2020-01-08,M,0,0.0,6663394,Madrid
392,2020-01-08,MA,0,0.0,1661785,Málaga
393,2020-01-08,ME,0,0.0,86487,Melilla
394,2020-01-08,MU,0,0.0,1493898,Murcia
395,2020-01-08,NA,0,0.0,654214,Navarra
396,2020-01-08,O,0,0.0,1022800,Asturias
397,2020-01-08,OR,0,0.0,307651,Orense
398,2020-01-08,P,0,0.0,160980,Palencia
399,2020-01-08,PM,0,0.0,1149460,Baleares
400,2020-01-08,PO,0,0.0,942665,Pontevedra
401,2020-01-08,S,0,0.0,581078,Cantabria
402,2020-01-08,SA,0,0.0,330119,Salamanca
403,2020-01-08,SE,0,0.0,1942389,Sevilla
404,2020-01-08,SG,0,0.0,153129,Segovia
405,2020-01-08,SO,0,0.0,88636,Soria
406,2020-01-08,SS,0,0.0,723576,Guipúzcoa
407,2020-01-08,T,0,0.0,804664,Tarragona
408,2020-01-08,TE,0,0.0,134137,Teruel
409,2020-01-08,TF,0,0.0,1032983,Santa Cruz de Tenerife
410,2020-01-08,TO,0,0.0,694844,Toledo
411,2020-01-08,V,0,0.0,2565124,Valencia
412,2020-01-08,VA,0,0.0,519546,Valladolid
413,2020-01-08,VI,0,0.0,331549,Álava
414,2020-01-08,Z,0,0.0,964693,Zaragoza
415,2020-01-08,ZA,0,0.0,172539,Zamora
416,2020-01-09,A,0,0.0,1858683,Alicante
417,2020-01-09,AB,0,0.0,388167,Albacete
418,2020-01-09,AL,0,0.0,716820,Almería
419,2020-01-09,AV,0,0.0,157640,Ávila
420,2020-01-09,B,0,0.0,5664579,Barcelona
421,2020-01-09,BA,0,0.0,673559,Badajoz
422,2020-01-09,BI,0,0.0,1152651,Vizcaya
423,2020-01-09,BU,0,0.0,356958,Burgos
424,2020-01-09,C,0,0.0,1119596,La Coruña
425,2020-01-09,CA,0,0.0,1240155,Cádiz
426,2020-01-09,CC,0,0.0,394151,Cáceres
427,2020-01-09,CE,0,0.0,84777,Ceuta
428,2020-01-09,CO,0,0.0,782979,Córdoba
429,2020-01-09,CR,0,0.0,495761,Ciudad Real
430,2020-01-09,CS,0,0.0,579962,Castellón
431,2020-01-09,CU,0,0.0,196329,Cuenca
432,2020-01-09,GC,0,0.0,1120406,Las Palmas
433,2020-01-09,GI,0,0.0,771044,Gerona
434,2020-01-09,GR,0,0.0,914678,Granada
435,2020-01-09,GU,0,0.0,257762,Guadalajara
436,2020-01-09,H,0,0.0,521870,Huelva
437,2020-01-09,HU,0,0.0,220461,Huesca
438,2020-01-09,J,0,0.0,633564,Jaén
439,2020-01-09,L,0,0.0,434930,Lérida
440,2020-01-09,LE,0,0.0,460001,León
441,2020-01-09,LO,0,0.0,316798,La Rioja
442,2020-01-09,LU,0,0.0,329587,Lugo
443,2020-01-09,M,0,0.0,6663394,Madrid
444,2020-01-09,MA,0,0.0,1661785,Málaga
445,2020-01-09,ME,0,0.0,86487,Melilla
446,2020-01-09,MU,0,0.0,1493898,Murcia
447,2020-01-09,NA,0,0.0,654214,Navarra
448,2020-01-09,O,0,0.0,1022800,Asturias
449,2020-01-09,OR,0,0.0,307651,Orense
450,2020-01-09,P,0,0.0,160980,Palencia
451,2020-01-09,PM,0,0.0,1149460,Baleares
452,2020-01-09,PO,0,0.0,942665,Pontevedra
453,2020-01-09,S,0,0.0,581078,Cantabria
454,2020-01-09,SA,0,0.0,330119,Salamanca
455,2020-01-09,SE,0,0.0,1942389,Sevilla
456,2020-01-09,SG,0,0.0,153129,Segovia
457,2020-01-09,SO,0,0.0,88636,Soria
458,2020-01-09,SS,0,0.0,723576,Guipúzcoa
459,2020-01-09,T,0,0.0,804664,Tarragona
460,2020-01-09,TE,0,0.0,134137,Teruel
461,2020-01-09,TF,0,0.0,1032983,Santa Cruz de Tenerife
462,2020-01-09,TO,0,0.0,694844,Toledo
463,2020-01-09,V,0,0.0,2565124,Valencia
464,2020-01-09,VA,0,0.0,519546,Valladolid
465,2020-01-09,VI,0,0.0,331549,Álava
466,2020-01-09,Z,0,0.0,964693,Zaragoza
467,2020-01-09,ZA,0,0.0,172539,Zamora
468,2020-01-10,A,0,0.0,1858683,Alicante
469,2020-01-10,AB,0,0.0,388167,Albacete
470,2020-01-10,AL,0,0.0,716820,Almería
471,2020-01-10,AV,0,0.0,157640,Ávila
472,2020-01-10,B,0,0.0,5664579,Barcelona
473,2020-01-10,BA,0,0.0,673559,Badajoz
474,2020-01-10,BI,0,0.0,1152651,Vizcaya
475,2020-01-10,BU,0,0.0,356958,Burgos
476,2020-01-10,C,0,0.0,1119596,La Coruña
477,2020-01-10,CA,0,0.0,1240155,Cádiz
478,2020-01-10,CC,0,0.0,394151,Cáceres
479,2020-01-10,CE,0,0.0,84777,Ceuta
480,2020-01-10,CO,0,0.0,782979,Córdoba
481,2020-01-10,CR,0,0.0,495761,Ciudad Real
482,2020-01-10,CS,0,0.0,579962,Castellón
483,2020-01-10,CU,0,0.0,196329,Cuenca
484,2020-01-10,GC,0,0.0,1120406,Las Palmas
485,2020-01-10,GI,0,0.0,771044,Gerona
486,2020-01-10,GR,0,0.0,914678,Granada
487,2020-01-10,GU,0,0.0,257762,Guadalajara
488,2020-01-10,H,0,0.0,521870,Huelva
489,2020-01-10,HU,0,0.0,220461,Huesca
490,2020-01-10,J,0,0.0,633564,Jaén
491,2020-01-10,L,0,0.0,434930,Lérida
492,2020-01-10,LE,0,0.0,460001,León
493,2020-01-10,LO,0,0.0,316798,La Rioja
494,2020-01-10,LU,0,0.0,329587,Lugo
495,2020-01-10,M,1,0.0,6663394,Madrid
496,2020-01-10,MA,0,0.0,1661785,Málaga
497,2020-01-10,ME,0,0.0,86487,Melilla
498,2020-01-10,MU,0,0.0,1493898,Murcia
499,2020-01-10,NA,0,0.0,654214,Navarra
500,2020-01-10,O,0,0.0,1022800,Asturias
501,2020-01-10,OR,0,0.0,307651,Orense
502,2020-01-10,P,0,0.0,160980,Palencia
503,2020-01-10,PM,0,0.0,1149460,Baleares
504,2020-01-10,PO,0,0.0,942665,Pontevedra
505,2020-01-10,S,0,0.0,581078,Cantabria
506,2020-01-10,SA,0,0.0,330119,Salamanca
507,2020-01-10,SE,0,0.0,1942389,Sevilla
508,2020-01-10,SG,0,0.0,153129,Segovia
509,2020-01-10,SO,0,0.0,88636,Soria
510,2020-01-10,SS,0,0.0,723576,Guipúzcoa
511,2020-01-10,T,0,0.0,804664,Tarragona
512,2020-01-10,TE,0,0.0,134137,Teruel
513,2020-01-10,TF,0,0.0,1032983,Santa Cruz de Tenerife
514,2020-01-10,TO,0,0.0,694844,Toledo
515,2020-01-10,V,0,0.0,2565124,Valencia
516,2020-01-10,VA,0,0.0,519546,Valladolid
517,2020-01-10,VI,0,0.0,331549,Álava
518,2020-01-10,Z,0,0.0,964693,Zaragoza
519,2020-01-10,ZA,0,0.0,172539,Zamora
520,2020-01-11,A,0,0.0,1858683,Alicante
