provinces,iso,comunidadiso,Fecha,Fase
La Rioja,LO,RI,08/06/2020,3
Las Palmas,GC,CN,08/06/2020,3
León,LE,CL,08/06/2020,2
Lérida,L,CT,08/06/2020,2
Lugo,LU,GA,08/06/2020,3
Madrid,M,MD,08/06/2020,2
Málaga,MA,AN,08/06/2020,3
Murcia,MU,MC,08/06/2020,3
Navarra,NA,NC,08/06/2020,3
Orense,OR,GA,08/06/2020,3
Palencia,P,CL,08/06/2020,3
Pontevedra,PO,GA,08/06/2020,3
Salamanca,SA,CL,08/06/2020,2
Santa Cruz de Tenerife,TF,CN,08/06/2020,3
Segovia,SG,CL,08/06/2020,2
Sevilla,SE,AN,08/06/2020,3
Soria,SO,CL,08/06/2020,2
Tarragona,T,CT,08/06/2020,3
Teruel,TE,AR,08/06/2020,3
Toledo,TO,CM,08/06/2020,2
Valencia,V,VC,08/06/2020,2
Valladolid,VA,CL,08/06/2020,2
Zamora,ZA,CL,08/06/2020,2
Zaragoza,Z,AR,08/06/2020,3
Ceuta,CE,CE,08/06/2020,2
Melilla,ME,ME,08/06/2020,3
La Coruña,C,GA,15/06/2020,3
Álava,VI,PV,15/06/2020,3
Albacete,AB,CM,15/06/2020,3
Alicante,A,VC,15/06/2020,3
Almería,AL,AN,15/06/2020,3
Asturias,O,AS,15/06/2020,3
Ávila,AV,CL,15/06/2020,2
Badajoz,BA,EX,15/06/2020,3
Baleares,PM,IB,15/06/2020,3
Barcelona,B,CT,15/06/2020,2
Vizcaya,BI,PV,15/06/2020,3
Burgos,BU,CL,15/06/2020,3
Cáceres,CC,EX,15/06/2020,3
Cádiz,CA,AN,15/06/2020,3
Cantabria,S,CB,15/06/2020,3
Castellón,CS,VC,15/06/2020,3
Ciudad Real,CR,CM,15/06/2020,3
Córdoba,CO,AN,15/06/2020,3
Cuenca,CU,CM,15/06/2020,3
Guipúzcoa,SS,PV,15/06/2020,3
Gerona,GI,CT,15/06/2020,3
Granada,GR,AN,15/06/2020,3
Guadalajara,GU,CM,15/06/2020,3
Huelva,H,AN,15/06/2020,3
Huesca,HU,AR,15/06/2020,3
Jaén,J,AN,15/06/2020,3
La Rioja,LO,RI,15/06/2020,3
Las Palmas,GC,CN,15/06/2020,3
León,LE,CL,15/06/2020,3
Lérida,L,CT,15/06/2020,2
Lugo,LU,GA,15/06/2020,3
Madrid,M,MD,15/06/2020,2
Málaga,MA,AN,15/06/2020,3
Murcia,MU,MC,15/06/2020,3
Navarra,NA,NC,15/06/2020,3
Orense,OR,GA,15/06/2020,3
Palencia,P,CL,15/06/2020,3
Pontevedra,PO,GA,15/06/2020,3
Salamanca,SA,CL,15/06/2020,2
Santa Cruz de Tenerife,TF,CN,15/06/2020,3
Segovia,SG,CL,15/06/2020,2
Sevilla,SE,AN,15/06/2020,3
Soria,SO,CL,15/06/2020,2
Tarragona,T,CT,15/06/2020,3
Teruel,TE,AR,15/06/2020,3
Toledo,TO,CM,15/06/2020,3
Valencia,V,VC,15/06/2020,3
Valladolid,VA,CL,15/06/2020,3
Zamora,ZA,CL,15/06/2020,3
Zaragoza,Z,AR,15/06/2020,3
Ceuta,CE,CE,15/06/2020,3
Melilla,ME,ME,15/06/2020,3
La Coruña,C,GA,18/06/2020,3
Álava,VI,PV,18/06/2020,3
Albacete,AB,CM,18/06/2020,3
Alicante,A,VC,18/06/2020,3
Almería,AL,AN,18/06/2020,3
Asturias,O,AS,18/06/2020,3
Ávila,AV,CL,18/06/2020,2
Badajoz,BA,EX,18/06/2020,3
Baleares,PM,IB,18/06/2020,3
Barcelona,B,CT,18/06/2020,3
Vizcaya,BI,PV,18/06/2020,3
Burgos,BU,CL,18/06/2020,3
Cáceres,CC,EX,18/06/2020,3
Cádiz,CA,AN,18/06/2020,3
Cantabria,S,CB,18/06/2020,3
Castellón,CS,VC,18/06/2020,3
Ciudad Real,CR,CM,18/06/2020,3
Córdoba,CO,AN,18/06/2020,3
Cuenca,CU,CM,18/06/2020,3
Guipúzcoa,SS,PV,18/06/2020,3
Gerona,GI,CT,18/06/2020,3
Granada,GR,AN,18/06/2020,3
Guadalajara,GU,CM,18/06/2020,3
Huelva,H,AN,18/06/2020,3
Huesca,HU,AR,18/06/2020,3
Jaén,J,AN,18/06/2020,3
La Rioja,LO,RI,18/06/2020,3
Las Palmas,GC,CN,18/06/2020,3
León,LE,CL,18/06/2020,3
Lérida,L,CT,18/06/2020,3
Lugo,LU,GA,18/06/2020,3
Madrid,M,MD,18/06/2020,2
Málaga,MA,AN,18/06/2020,3
Murcia,MU,MC,18/06/2020,3
Navarra,NA,NC,18/06/2020,3
Orense,OR,GA,18/06/2020,3
Palencia,P,CL,18/06/2020,3
Pontevedra,PO,GA,18/06/2020,3
Salamanca,SA,CL,18/06/2020,2
Santa Cruz de Tenerife,TF,CN,18/06/2020,3
Segovia,SG,CL,18/06/2020,2
Sevilla,SE,AN,18/06/2020,3
Soria,SO,CL,18/06/2020,2
Tarragona,T,CT,18/06/2020,3
Teruel,TE,AR,18/06/2020,3
Toledo,TO,CM,18/06/2020,3
Valencia,V,VC,18/06/2020,3
Valladolid,VA,CL,18/06/2020,3
Zamora,ZA,CL,18/06/2020,3
Zaragoza,Z,AR,18/06/2020,3
Ceuta,CE,CE,18/06/2020,3
Melilla,ME,ME,18/06/2020,3
La Coruña,C,GA,21/06/2020,4
Álava,VI,PV,21/06/2020,4
Albacete,AB,CM,21/06/2020,4
Alicante,A,VC,21/06/2020,4
Almería,AL,AN,21/06/2020,4
Asturias,O,AS,21/06/2020,4
Ávila,AV,CL,21/06/2020,4
Badajoz,BA,EX,21/06/2020,4
Baleares,PM,IB,21/06/2020,4
Barcelona,B,CT,21/06/2020,4
Vizcaya,BI,PV,21/06/2020,4
Burgos,BU,CL,21/06/2020,4
Cáceres,CC,EX,21/06/2020,4
Cádiz,CA,AN,21/06/2020,4
Cantabria,S,CB,21/06/2020,4
Castellón,CS,VC,21/06/2020,4
Ciudad Real,CR,CM,21/06/2020,4
Córdoba,CO,AN,21/06/2020,4
Cuenca,CU,CM,21/06/2020,4
Guipúzcoa,SS,PV,21/06/2020,4
Gerona,GI,CT,21/06/2020,4
Granada,GR,AN,21/06/2020,4
Guadalajara,GU,CM,21/06/2020,4
Huelva,H,AN,21/06/2020,4
Huesca,HU,AR,21/06/2020,4
Jaén,J,AN,21/06/2020,4
La Rioja,LO,RI,21/06/2020,4
Las Palmas,GC,CN,21/06/2020,4
León,LE,CL,21/06/2020,4
Lérida,L,CT,21/06/2020,4
Lugo,LU,GA,21/06/2020,4
Madrid,M,MD,21/06/2020,4
Málaga,MA,AN,21/06/2020,4
Murcia,MU,MC,21/06/2020,4
Navarra,NA,NC,21/06/2020,4
Orense,OR,GA,21/06/2020,4
Palencia,P,CL,21/06/2020,4
Pontevedra,PO,GA,21/06/2020,4
Salamanca,SA,CL,21/06/2020,4
Santa Cruz de Tenerife,TF,CN,21/06/2020,4
Segovia,SG,CL,21/06/2020,4
Sevilla,SE,AN,21/06/2020,4
Soria,SO,CL,21/06/2020,4
Tarragona,T,CT,21/06/2020,4
Teruel,TE,AR,21/06/2020,4
Toledo,TO,CM,21/06/2020,4
Valencia,V,VC,21/06/2020,4
Valladolid,VA,CL,21/06/2020,4
Zamora,ZA,CL,21/06/2020,4
Zaragoza,Z,AR,21/06/2020,4
Ceuta,CE,CE,21/06/2020,4
Melilla,ME,ME,21/06/2020,4
